,Region,Model,Timestamp,ValveEstimate
2591,2.0,1.0,1626456134,1.0
2616,0.0,1.0,1626463800,0.0
2628,2.0,1.0,1626455340,0.0
2664,0.0,2.0,1626461431,1.0
2676,2.0,1.0,1626456199,1.0
2777,0.0,2.0,1626459421,1.0
2782,0.0,2.0,1626461130,1.0
2843,0.0,1.0,1626458163,1.0
2870,2.0,2.0,1626455572,1.0
2891,0.0,2.0,1626460531,1.0
2898,2.0,1.0,1626456306,1.0
2934,0.0,2.0,1626462101,1.0
2948,2.0,2.0,1626455627,1.0
2972,0.0,2.0,1626460481,1.0
2976,2.0,2.0,1626455234,0.0
2980,2.0,1.0,1626455658,1.0
2984,2.0,2.0,1626455620,1.0
2985,2.0,1.0,1626456589,1.0
3007,2.0,2.0,1626455608,1.0
3022,2.0,1.0,1626456189,1.0
3051,0.0,2.0,1626458387,1.0
3116,2.0,2.0,1626455581,1.0
3120,0.0,0.0,1626518984,1.0
3164,2.0,1.0,1626455787,1.0
3169,2.0,1.0,1626455905,1.0
3184,2.0,2.0,1626455616,1.0
3185,2.0,1.0,1626456515,1.0
3186,0.0,1.0,1626460183,1.0
3191,2.0,2.0,1626455264,1.0
3207,2.0,2.0,1626455266,1.0
3229,0.0,0.0,1626508164,1.0
3231,0.0,2.0,1626457294,1.0
3233,0.0,1.0,1626464954,1.0
3234,0.0,1.0,1626457298,0.0
3235,2.0,1.0,1626456180,1.0
3248,2.0,0.0,1626458727,1.0
3268,2.0,1.0,1626456129,1.0
3273,0.0,2.0,1626460596,1.0
3299,2.0,0.0,1626456608,1.0
3308,0.0,2.0,1626458729,1.0
3311,2.0,1.0,1626455877,1.0
3337,2.0,0.0,1626458574,1.0
3366,0.0,1.0,1626464513,1.0
3377,2.0,2.0,1626455238,1.0
3387,1.0,0.0,1626461780,1.0
3401,2.0,0.0,1626457286,1.0
3428,0.0,1.0,1626462794,1.0
3462,0.0,1.0,1626461152,1.0
3466,0.0,1.0,1626458734,1.0
3481,2.0,1.0,1626456168,1.0
3503,1.0,2.0,1626455226,1.0
3506,2.0,2.0,1626455598,1.0
3527,2.0,0.0,1626459134,1.0
3538,2.0,1.0,1626455769,1.0
3554,2.0,2.0,1626455538,1.0
3557,2.0,2.0,1626455247,1.0
3586,2.0,2.0,1626455527,1.0
3591,0.0,2.0,1626457822,1.0
3602,0.0,1.0,1626462278,1.0
3636,0.0,2.0,1626459916,1.0
3641,0.0,2.0,1626460528,1.0
3643,1.0,1.0,1626455707,1.0
3651,0.0,2.0,1626457836,1.0
3669,0.0,2.0,1626456702,1.0
3674,2.0,1.0,1626455974,1.0
3737,0.0,0.0,1626473559,0.0
3749,2.0,1.0,1626456121,1.0
3768,0.0,1.0,1626463744,1.0
3775,0.0,2.0,1626460450,1.0
3793,0.0,0.0,1626512299,1.0
3808,1.0,0.0,1626465043,1.0
3836,2.0,2.0,1626455589,1.0
3845,0.0,1.0,1626459138,1.0
3850,1.0,2.0,1626455221,1.0
3851,0.0,2.0,1626456788,1.0
3856,0.0,2.0,1626459908,1.0
3868,2.0,2.0,1626455248,1.0
3882,0.0,2.0,1626456990,1.0
3892,0.0,2.0,1626461449,1.0
3902,2.0,2.0,1626455530,1.0
3907,0.0,2.0,1626457569,1.0
3917,0.0,2.0,1626456975,1.0
3933,2.0,2.0,1626455506,1.0
3934,2.0,2.0,1626455274,1.0
3937,0.0,2.0,1626462235,1.0
3940,2.0,2.0,1626455380,1.0
3946,1.0,1.0,1626455544,1.0
3960,2.0,2.0,1626455489,1.0
3971,0.0,1.0,1626461659,1.0
3980,2.0,2.0,1626455249,1.0
3990,2.0,2.0,1626455617,1.0
4020,2.0,1.0,1626456144,1.0
4062,2.0,0.0,1626459134,1.0
4067,2.0,2.0,1626455254,0.0
4082,0.0,2.0,1626457301,1.0
4096,0.0,2.0,1626460353,1.0
4104,2.0,0.0,1626456519,1.0
4119,2.0,2.0,1626455555,1.0
4136,0.0,2.0,1626458745,1.0
4145,2.0,2.0,1626455629,1.0
4147,0.0,1.0,1626460349,1.0
4171,2.0,0.0,1626456725,1.0
4258,0.0,1.0,1626463763,1.0
4296,0.0,2.0,1626457060,1.0
4300,1.0,1.0,1626455184,0.0
4313,2.0,1.0,1626456204,1.0
4318,2.0,0.0,1626458722,1.0
4369,0.0,2.0,1626458749,1.0
4501,0.0,2.0,1626462000,0.0
4517,0.0,2.0,1626459367,1.0
4522,0.0,2.0,1626457320,1.0
4557,0.0,2.0,1626461147,1.0
4566,2.0,1.0,1626456572,1.0
4599,2.0,1.0,1626455821,1.0
4602,2.0,0.0,1627320359,1.0
4617,0.0,1.0,1626460344,1.0
4618,2.0,2.0,1626455532,1.0
4640,0.0,2.0,1626457667,1.0
4641,0.0,1.0,1626462017,1.0
4646,2.0,1.0,1626455880,1.0
4648,2.0,2.0,1626455239,1.0
4651,0.0,2.0,1626458033,0.0
4652,2.0,0.0,1626458609,1.0
4653,0.0,1.0,1626463497,1.0
4654,2.0,1.0,1626456177,1.0
4656,1.0,1.0,1626455580,1.0
4661,2.0,2.0,1626455386,1.0
4663,2.0,1.0,1626455900,1.0
4665,0.0,1.0,1626462594,1.0
4668,2.0,1.0,1626455894,1.0
4672,2.0,2.0,1626455400,1.0
4675,0.0,2.0,1626458379,1.0
4678,0.0,2.0,1626462317,1.0
4679,0.0,2.0,1626458084,1.0
4680,1.0,1.0,1626455595,1.0
4681,2.0,1.0,1626455251,0.0
